自治体コード,自治体名,親県コード,親県名,種別,収集ステータス,起点URL,備考
29201,奈良市,29,奈良県,中核市,県事業カバー,https://www.pref.nara.lg.jp/n067/p000011.html,奈良県事業でカバー(市独自未確認)
30201,和歌山市,30,和歌山県,中核市,県事業カバー,https://www.pref.wakayama.lg.jp/prefg/040300/d00201773.html,和歌山県事業でカバー(市独自未確認)
31201,鳥取市,31,鳥取県,中核市,県事業カバー,https://www.pref.tottori.lg.jp/313191.htm,鳥取県事業でカバー(市独自未確認)
32201,松江市,32,島根県,中核市,県事業カバー,https://www.pref.shimane.lg.jp/medical/fukushi/kourei/kaigo_hoken/hojokin/kaigo-tech.html,島根県事業でカバー(市独自未確認)
33202,倉敷市,33,岡山県,中核市,県事業カバー,https://www.pref.okayama.jp/page/1041750.html,岡山県事業でカバー(市独自未確認)
34202,呉市,34,広島県,中核市,県事業カバー,https://www.fukushiyogu-hiroshima.jp/tec_support_2026/,広島県事業でカバー(市独自未確認)
34207,福山市,34,広島県,中核市,県事業カバー,https://www.fukushiyogu-hiroshima.jp/tec_support_2026/,広島県事業でカバー(市独自未確認)
35201,下関市,35,山口県,中核市,県事業カバー,https://www.kaigo.pref.yamaguchi.lg.jp/cms/4100.html,山口県事業でカバー(市独自未確認)
37201,高松市,37,香川県,中核市,県事業カバー,https://www.pref.kagawa.lg.jp/choju/choju/jigyosya/kikin_hojyo.html,香川県事業でカバー(市独自未確認)
38201,松山市,38,愛媛県,中核市,県事業カバー,https://www.pref.ehime.jp/page/80580.html,愛媛県事業でカバー(市独自未確認)
39201,高知市,39,高知県,中核市,県事業カバー,https://www.pref.kochi.lg.jp/doc/2026061600100/,高知県事業でカバー(市独自未確認)
40203,久留米市,40,福岡県,中核市,県事業カバー,https://www.pref.fukuoka.lg.jp/contents/kaigodx.html,福岡県事業でカバー(市独自未確認)
42201,長崎市,42,長崎県,中核市,県事業カバー,https://www.pref.nagasaki.jp/doc/48428.html,長崎県事業でカバー(市独自未確認)
42202,佐世保市,42,長崎県,中核市,県事業カバー,https://www.pref.nagasaki.jp/doc/48428.html,長崎県事業でカバー(市独自未確認)
44201,大分市,44,大分県,中核市,県事業カバー,https://www.pref.oita.jp/soshiki/12300/kaigotech2026.html,大分県事業でカバー(市独自未確認)
45201,宮崎市,45,宮崎県,中核市,県事業カバー,https://www.pref.miyazaki.lg.jp/choju/kurashi/koresha/2025technology.html,宮崎県事業でカバー(市独自未確認)
46201,鹿児島市,46,鹿児島県,中核市,県事業カバー,https://www.pref.kagoshima.jp/ae05/r8tekunoroji-/r8tekunoroji-.html,鹿児島県事業でカバー(市独自未確認)
47201,那覇市,47,沖縄県,中核市,県事業カバー,https://www.pref.okinawa.lg.jp/kyoiku/kaigofukushi/1006708/1040463.html,沖縄県事業でカバー(市独自未確認)
